attendance_id,employee_id,employee_name,gender,department,designation,employment_type,office_location,date_of_joining,attendance_date,shift_type,attendance_status,work_mode,login_timestamp,logout_timestamp,total_hours_worked,break_duration_mins,net_productive_hours,late_arrival_mins,early_exit_mins,overtime_hours,leave_type,login_date,login_time,logout_date,logout_time,recalculated_gross_hours,recalculated_net_productive_hours
27,1026,Ishita Banerjee,Male,Engineering,Software Engineer,Full-Time,Indiranagar Annexe,2021-06-19,2026-01-02,Flexible (10:30-19:30),Present,Work From Office,2026-01-02 10:31:17,2026-01-02 20:49:36,10.31,57,9.36,1,0,0.36,Not Applicable,2026-01-02,10:31:17,2026-01-02,20:49:36,10.305277777777778,9.35527777777778
28,1027,Ritesh Sinha,Female,Engineering,Associate Software Engineer,Full-Time,Electronic City Campus,2021-09-11,2026-01-02,Flexible (10:30-19:30),Present,Work From Office,2026-01-02 10:00:15,2026-01-02 20:20:35,10.34,86,8.91,0,0,0.0,Not Applicable,2026-01-02,10:00:15,2026-01-02,20:20:35,10.338888888888889,8.905555555555555
29,1028,Shivani Bhardwaj,Male,Data Science,Senior Data Scientist,Full-Time,Whitefield Tech Park,2022-11-21,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:52:29,2026-01-02 21:53:46,12.02,94,10.45,22,0,1.45,Not Applicable,2026-01-02,09:52:29,2026-01-02,21:53:46,12.02138888888889,10.454722222222223
30,1029,Tanmay Chandran,Prefer Not To Say,Engineering,Senior Software Engineer,Full-Time,Hsr Layout Hub,2021-10-31,2026-01-02,General (09:30-18:30),Half Day,Work From Office,2026-01-02 09:57:32,2026-01-02 14:45:59,4.81,19,4.49,27,0,0.0,Not Applicable,2026-01-02,09:57:32,2026-01-02,14:45:59,4.8075,4.490833333333334
31,1030,Jayanth Varghese,Female,Engineering,Staff Engineer,Full-Time,Indiranagar Annexe,2023-05-15,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 11:07:01,2026-01-02 20:13:04,9.1,66,8.0,6,0,0.0,Not Applicable,2026-01-02,11:07:01,2026-01-02,20:13:04,9.100833333333334,8.000833333333334
32,1032,Arnav Prasad,Male,Operations,Operations Manager,Full-Time,Whitefield Tech Park,2024-03-25,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 10:07:39,2026-01-02 19:27:39,9.33,58,8.36,37,0,0.0,Not Applicable,2026-01-02,10:07:39,2026-01-02,19:27:39,9.333333333333334,8.366666666666667
33,1033,Farhan Bose,Female,Finance,Financial Analyst,Full-Time,Electronic City Campus,2025-03-16,2026-01-02,Early (08:00-17:00),Present,Work From Office,2026-01-02 08:07:54,2026-01-02 16:07:28,7.99,71,6.81,7,53,0.0,Not Applicable,2026-01-02,08:07:54,2026-01-02,16:07:28,7.9927777777777775,6.809444444444444
34,1034,Apoorva Varghese,Male,Finance,Finance Controller,Full-Time,Indiranagar Annexe,2023-05-19,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:26:37,2026-01-02 19:22:40,9.93,89,8.45,0,0,0.0,Not Applicable,2026-01-02,09:26:37,2026-01-02,19:22:40,9.934166666666666,8.450833333333332
35,1035,Ritesh Kar,Female,Sales,Sales Development Representative,Contract,Koramangala Hq,2025-08-16,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:46:30,2026-01-02 18:31:49,8.76,56,7.83,16,0,0.0,Not Applicable,2026-01-02,09:46:30,2026-01-02,18:31:49,8.755277777777778,7.821944444444444
36,1036,Nithya Jain,Male,Engineering,Associate Software Engineer,Full-Time,Whitefield Tech Park,2024-06-07,2026-01-02,Flexible (10:30-19:30),Present,Work From Home,2026-01-02 10:29:47,2026-01-02 19:41:23,9.19,25,8.77,0,0,0.0,Not Applicable,2026-01-02,10:29:47,2026-01-02,19:41:23,9.193333333333333,8.776666666666667
37,1038,Sagar Iyer,Male,Engineering,Software Engineer,Full-Time,Whitefield Tech Park,2023-11-17,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:25:17,2026-01-02 19:49:59,10.41,92,8.88,0,0,0.0,Not Applicable,2026-01-02,09:25:17,2026-01-02,19:49:59,10.411666666666667,8.878333333333334
38,1039,Shreya Pai,Male,Engineering,Associate Software Engineer,Full-Time,Whitefield Tech Park,2023-09-02,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 10:50:41,2026-01-02 20:01:13,9.18,16,8.91,0,0,0.0,Not Applicable,2026-01-02,10:50:41,2026-01-02,20:01:13,9.175555555555556,8.908888888888889
39,1040,Yash Pai,Male,Sales,Senior Account Executive,Full-Time,Whitefield Tech Park,2024-12-11,2026-01-02,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-02 14:31:20,2026-01-03 00:34:47,10.06,66,8.96,31,0,0.0,Not Applicable,2026-01-02,14:31:20,2026-01-03,00:34:47,10.0575,8.9575
40,1041,Harsha Reddy,Female,Sales,Sales Development Representative,Full-Time,Koramangala Hq,2020-10-01,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 11:11:16,2026-01-02 21:22:46,10.19,88,8.72,11,0,0.0,Not Applicable,2026-01-02,11:11:16,2026-01-02,21:22:46,10.191666666666666,8.725
41,1042,Sanjay Ansari,Female,Finance,Finance Executive,Full-Time,Koramangala Hq,2025-12-10,2026-01-02,Early (08:00-17:00),Present,Work From Home,2026-01-02 07:22:01,2026-01-02 16:42:17,9.34,52,8.47,0,18,0.0,Not Applicable,2026-01-02,07:22:01,2026-01-02,16:42:17,9.337777777777777,8.47111111111111
42,1043,Ibrahim Gowda,Male,Sales,Senior Account Executive,Full-Time,Indiranagar Annexe,2025-05-02,2026-01-02,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-02 14:13:27,2026-01-02 22:28:50,8.26,88,6.79,13,32,0.0,Not Applicable,2026-01-02,14:13:27,2026-01-02,22:28:50,8.256388888888889,6.789722222222222
43,1044,Rishabh Sen,Male,Human Resources,Hr Business Partner,Full-Time,Indiranagar Annexe,2021-01-17,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:45:16,2026-01-02 19:55:40,10.17,61,9.15,14,0,0.15,Not Applicable,2026-01-02,09:45:16,2026-01-02,19:55:40,10.173333333333334,9.156666666666666
44,1045,Rachana George,Female,Engineering,Senior Software Engineer,Full-Time,Indiranagar Annexe,2025-08-23,2026-01-02,General (09:30-18:30),Present,Work From Home,2026-01-02 09:25:45,2026-01-02 19:26:52,10.02,18,9.72,0,0,0.72,Not Applicable,2026-01-02,09:25:45,2026-01-02,19:26:52,10.018611111111111,9.71861111111111
45,1046,Pallavi Shetty,Female,Sales,Account Executive,Full-Time,Indiranagar Annexe,2021-02-10,2026-01-02,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-02 13:38:44,2026-01-03 00:20:22,10.69,88,9.22,0,0,0.22,Not Applicable,2026-01-02,13:38:44,2026-01-03,00:20:22,10.693888888888889,9.227222222222222
46,1047,Aditya Krishnan,Male,Data Science,Senior Data Scientist,Full-Time,Whitefield Tech Park,2020-08-29,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:34:55,2026-01-02 19:25:01,9.84,43,9.12,4,0,0.12,Not Applicable,2026-01-02,09:34:55,2026-01-02,19:25:01,9.835,9.118333333333334
47,1048,Arjun George,Male,Customer Success,Customer Success Manager,Full-Time,Hsr Layout Hub,2024-01-07,2026-01-02,General (09:30-18:30),Present,Work From Home,2026-01-02 09:48:28,2026-01-02 18:52:34,9.07,15,8.82,18,0,0.0,Not Applicable,2026-01-02,09:48:28,2026-01-02,18:52:34,9.068333333333333,8.818333333333333
48,1049,Vishal Subramanian,Male,Design,Senior Product Designer,Full-Time,Hsr Layout Hub,2021-07-25,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 10:57:52,2026-01-02 18:09:22,7.19,90,5.69,0,111,0.0,Not Applicable,2026-01-02,10:57:52,2026-01-02,18:09:22,7.191666666666666,5.691666666666666
49,1050,Zainab Sinha,Male,Engineering,Associate Software Engineer,Full-Time,Hsr Layout Hub,2021-02-24,2026-01-02,General (09:30-18:30),Present,Work From Home,2026-01-02 09:55:43,2026-01-02 19:22:46,9.45,56,8.52,25,0,0.0,Not Applicable,2026-01-02,09:55:43,2026-01-02,19:22:46,9.450833333333334,8.5175
50,1051,Deepak Hussain,Female,Sales,Account Executive,Full-Time,Indiranagar Annexe,2020-05-20,2026-01-02,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-02 13:58:22,2026-01-03 00:11:41,10.22,100,8.55,0,0,0.0,Not Applicable,2026-01-02,13:58:22,2026-01-03,00:11:41,10.221944444444444,8.555277777777778
51,1052,Sameer Venkatesan,Male,Customer Success,Customer Success Executive,Full-Time,Hsr Layout Hub,2020-04-08,2026-01-02,General (09:30-18:30),Present,Client Site,2026-01-02 09:31:24,2026-01-02 19:42:46,10.19,60,9.19,1,0,0.19,Not Applicable,2026-01-02,09:31:24,2026-01-02,19:42:46,10.189444444444444,9.189444444444444
52,1053,Tejas Yadav,Female,Product Management,Associate Product Manager,Full-Time,Koramangala Hq,2024-06-17,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:45:46,2026-01-02 18:12:28,8.45,60,7.45,15,18,0.0,Not Applicable,2026-01-02,09:45:46,2026-01-02,18:12:28,8.445,7.445
53,1054,Uday Ansari,Male,Operations,Operations Executive,Full-Time,Koramangala Hq,2021-04-14,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:11:40,2026-01-02 18:47:20,9.59,58,8.62,0,0,0.0,Not Applicable,2026-01-02,09:11:40,2026-01-02,18:47:20,9.594444444444445,8.627777777777778
54,1055,Rekha Agarwal,Female,Product Management,Product Manager,Full-Time,Koramangala Hq,2021-02-14,2026-01-02,Flexible (10:30-19:30),Present,Work From Office,2026-01-02 10:35:40,2026-01-02 20:23:14,9.79,74,8.56,5,0,0.0,Not Applicable,2026-01-02,10:35:40,2026-01-02,20:23:14,9.792777777777777,8.559444444444445
55,1056,Mahesh Khan,Male,Engineering,Senior Software Engineer,Full-Time,Electronic City Campus,2023-08-01,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:56:48,2026-01-02 17:54:27,7.96,65,6.88,26,36,0.0,Not Applicable,2026-01-02,09:56:48,2026-01-02,17:54:27,7.960833333333333,6.8775
56,1057,Tanmay Sen,Male,Product Management,Senior Product Manager,Full-Time,Whitefield Tech Park,2020-03-25,2026-01-02,Mid (11:00-20:00),Present,Work From Home,2026-01-02 10:53:16,2026-01-02 19:07:24,8.24,51,7.39,0,53,0.0,Not Applicable,2026-01-02,10:53:16,2026-01-02,19:07:24,8.235555555555555,7.385555555555555
57,1058,Shalini Suresh,Female,Human Resources,Hr Executive,Full-Time,Electronic City Campus,2023-02-19,2026-01-02,Flexible (10:30-19:30),Present,Work From Office,2026-01-02 10:50:25,2026-01-02 19:41:19,8.85,75,7.6,20,0,0.0,Not Applicable,2026-01-02,10:50:25,2026-01-02,19:41:19,8.848333333333333,7.598333333333333
58,1059,Priya Bhat,Male,Engineering,Associate Software Engineer,Full-Time,Electronic City Campus,2024-09-19,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 11:29:14,2026-01-02 21:08:59,9.66,47,8.88,29,0,0.0,Not Applicable,2026-01-02,11:29:14,2026-01-02,21:08:59,9.6625,8.879166666666666
59,1060,Nikita Ramesh,Male,Finance,Accounts Manager,Contract,Hsr Layout Hub,2025-04-01,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:11:08,2026-01-02 18:33:04,9.37,76,8.1,0,0,0.0,Not Applicable,2026-01-02,09:11:08,2026-01-02,18:33:04,9.365555555555556,8.09888888888889
60,1061,Fatima Gowda,Male,Product Management,Product Manager,Contract,Koramangala Hq,2024-01-23,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 10:36:51,2026-01-02 20:54:00,10.29,59,9.31,0,0,0.31,Not Applicable,2026-01-02,10:36:51,2026-01-02,20:54:00,10.285833333333333,9.3025
61,1062,Uday Verma,Male,Marketing,Head Of Marketing,Full-Time,Whitefield Tech Park,2023-10-27,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:40:27,2026-01-02 17:52:42,8.2,54,7.3,9,38,0.0,Not Applicable,2026-01-02,09:40:27,2026-01-02,17:52:42,8.204166666666667,7.304166666666667
62,1063,Tanmay Pandey,Male,Operations,Operations Analyst,Contract,Whitefield Tech Park,2025-03-25,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:45:42,2026-01-02 18:59:39,9.23,50,8.4,15,0,0.0,Not Applicable,2026-01-02,09:45:42,2026-01-02,18:59:39,9.2325,8.399166666666666
63,1064,Radhika Suresh,Male,Operations,Operations Executive,Full-Time,Koramangala Hq,2024-08-02,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:43:02,2026-01-02 18:24:39,8.69,44,7.96,13,6,0.0,Not Applicable,2026-01-02,09:43:02,2026-01-02,18:24:39,8.69361111111111,7.960277777777777
64,1065,Sanjay Acharya,Male,Product Management,Associate Product Manager,Contract,Koramangala Hq,2024-08-22,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 10:58:10,2026-01-02 18:57:18,7.99,64,6.92,0,63,0.0,Not Applicable,2026-01-02,10:58:10,2026-01-02,18:57:18,7.985555555555556,6.9188888888888895
65,1066,Yash Patil,Male,Sales,Regional Sales Manager,Contract,Indiranagar Annexe,2025-03-06,2026-01-02,Early (08:00-17:00),Present,Work From Office,2026-01-02 08:19:46,2026-01-02 17:55:18,9.59,75,8.34,19,0,0.0,Not Applicable,2026-01-02,08:19:46,2026-01-02,17:55:18,9.592222222222222,8.342222222222222
66,1067,Yash Qureshi,Male,Human Resources,Hr Executive,Full-Time,Whitefield Tech Park,2021-10-19,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:21:19,2026-01-02 17:17:35,7.94,67,6.82,0,73,0.0,Not Applicable,2026-01-02,09:21:19,2026-01-02,17:17:35,7.937777777777778,6.821111111111112
67,1068,Pallavi Fernandes,Male,Engineering,Associate Software Engineer,Full-Time,Indiranagar Annexe,2022-05-12,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 11:08:53,2026-01-02 22:19:55,11.18,55,10.26,8,0,1.26,Not Applicable,2026-01-02,11:08:53,2026-01-02,22:19:55,11.18388888888889,10.267222222222223
68,1069,Rashmi Roy,Female,Data Science,Senior Data Scientist,Full-Time,Koramangala Hq,2023-10-15,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 11:18:10,2026-01-02 20:31:09,9.22,70,8.05,18,0,0.0,Not Applicable,2026-01-02,11:18:10,2026-01-02,20:31:09,9.216388888888888,8.049722222222222
69,1070,Shalini Nair,Male,Design,Senior Product Designer,Full-Time,Koramangala Hq,2020-03-09,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 11:24:02,2026-01-02 20:07:03,8.72,41,8.04,24,0,0.0,Not Applicable,2026-01-02,11:24:02,2026-01-02,20:07:03,8.716944444444444,8.03361111111111
70,1071,Shalini Khan,Male,Engineering,Senior Software Engineer,Contract,Whitefield Tech Park,2024-10-12,2026-01-02,Flexible (10:30-19:30),On Leave,Not Applicable,,,0.0,0,0.0,0,0,0.0,Sick Leave,,,,,0.0,0.0
71,1072,Arnav Kulkarni,Female,Customer Success,Head Of Customer Success,Contract,Koramangala Hq,2025-03-24,2026-01-02,Late/Us Overlap (14:00-23:00),Present,Work From Home,2026-01-02 13:46:11,2026-01-02 22:45:05,8.98,39,8.33,0,16,0.0,Not Applicable,2026-01-02,13:46:11,2026-01-02,22:45:05,8.981666666666667,8.331666666666667
72,1073,Chaitanya Nair,Female,Engineering,Associate Software Engineer,Full-Time,Koramangala Hq,2022-09-04,2026-01-02,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-02 14:36:03,2026-01-02 22:24:47,7.81,74,6.58,35,36,0.0,Not Applicable,2026-01-02,14:36:03,2026-01-02,22:24:47,7.812222222222222,6.578888888888889
73,1074,Ravi Shah,Male,Engineering,Software Engineer,Full-Time,Hsr Layout Hub,2021-01-30,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 10:05:39,2026-01-02 19:44:36,9.65,83,8.27,35,0,0.0,Not Applicable,2026-01-02,10:05:39,2026-01-02,19:44:36,9.649166666666666,8.265833333333333
74,1075,Mohit Kar,Female,Engineering,Software Engineer Intern,Intern,Whitefield Tech Park,2025-12-10,2026-01-02,Flexible (10:30-19:30),Present,Work From Office,2026-01-02 10:49:21,2026-01-02 20:19:34,9.5,59,8.52,19,0,0.0,Not Applicable,2026-01-02,10:49:21,2026-01-02,20:19:34,9.50361111111111,8.520277777777778
75,1076,Ritika Kamath,Male,Operations,Operations Executive,Full-Time,Koramangala Hq,2022-11-16,2026-01-02,Mid (11:00-20:00),On Leave,Not Applicable,,,0.0,0,0.0,0,0,0.0,Casual Leave,,,,,0.0,0.0
76,1077,Rohit Joseph,Female,Data Science,Data Analyst,Full-Time,Whitefield Tech Park,2024-08-16,2026-01-02,General (09:30-18:30),Present,Work From Home,2026-01-02 09:29:50,2026-01-02 19:39:05,10.15,58,9.18,0,0,0.18,Not Applicable,2026-01-02,09:29:50,2026-01-02,19:39:05,10.154166666666667,9.1875
77,1078,Chandan Qureshi,Male,Data Science,Senior Data Scientist,Full-Time,Indiranagar Annexe,2023-11-08,2026-01-02,Flexible (10:30-19:30),Present,Work From Office,2026-01-02 10:43:53,2026-01-02 19:53:38,9.16,59,8.18,13,0,0.0,Not Applicable,2026-01-02,10:43:53,2026-01-02,19:53:38,9.1625,8.179166666666667
78,1080,Jayanth Bhardwaj,Male,Product Management,Associate Product Manager,Full-Time,Whitefield Tech Park,2024-02-06,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 10:03:48,2026-01-02 19:58:09,9.91,40,9.24,34,0,0.24,Not Applicable,2026-01-02,10:03:48,2026-01-02,19:58:09,9.905833333333334,9.239166666666668
79,1081,Mounika Hussain,Male,Marketing,Performance Marketing Manager,Full-Time,Koramangala Hq,2023-06-30,2026-01-02,Flexible (10:30-19:30),Present,Work From Office,2026-01-02 10:18:46,2026-01-02 19:35:53,9.29,37,8.67,0,0,0.0,Not Applicable,2026-01-02,10:18:46,2026-01-02,19:35:53,9.285277777777777,8.66861111111111
